"name","company_name_unique","founded_year","founded_date","closed_date","acquired_date","acquired_by_company_name_unique","employees","domain","total_funding_usd","annual_revenue","hq_region","status","ipo_date","independence","stock_symbol_1","stock_symbol_2","competitor_1","competitor_2","competitor_3","competitor_4","competitor_5","competitor_6","competitor_7","competitor_8","competitor_9","competitor_10","notes"
"Tesla","tesla",2003,"2003/7/1",NA,NA,NA,"37,543","tesla.com","$1.3B","$9B","Palo Alto,California","Public","2010-06-29","Y","NASDAQ","TSLA","Toyota","BMW Group","Audi","General Motors","Porsche","Volkswagen","Ford Motor","Honda",NA,NA,NA
"Aston Martin","astonmartinlagondalimited",1913,"1913",NA,NA,NA,"2,527","astonmartin.com","$305M","$1.2B","Warwick,England","Private",NA,"Y",NA,NA,"Ferrari","Automobili Lamborghini","Maserati","McLaren","Rolls-Royce Motor Cars","Audi","Bentley Motors","BMW Group",NA,NA,NA
"Ferrari","ferrari",1939,"1939/9/13",NA,NA,NA,"3,248","ferrari.com","$ -","$3.5B","Maranello,Emilia-Romagna","Public","2015-10-20","Fiat Chrysler Automobiles N.V.","NYSE","RACE","Aston Martin","Automobili Lamborghini","McLaren","Maserati","Rolls-Royce Motor Cars","Supercars","Bentley Motors","Audi",NA,NA,NA
"Jaguar","jaguar",1933,"1933/10/26",NA,NA,NA,"1,568","jaguar.com","$2.6B","$9.3M","Coventry","Private",NA,"Y",NA,NA,"Porsche","Bentley Motors","BMW Group","Lexus","Audi","Toyota","Aston Martin","Mercedes-Benz",NA,NA,NA
"Automobili Lamborghini","lamborghini",1963,"1963/5/1",NA,NA,NA,"1,549","lamborghini.com","$ -","$700M","Bologna,Emilia-Romagna","Private",NA,"Audi AG",NA,NA,"Ferrari","Aston Martin","Rolls-Royce Motor Cars","Supercars","McLaren","Maserati","Bentley Motors","Lotus",NA,NA,NA
"McLaren","mclaren",1963,"1963",NA,NA,NA,"3,631","mclaren.com","$ -","$1.1B","Surrey,England","Private",NA,"Y",NA,NA,"Ferrari","Aston Martin","Automobili Lamborghini","Maserati","Rolls-Royce Motor Cars","Bugatti","Bentley Motors","Lotus",NA,NA,NA
"Rolls-Royce Motor Cars","rolls-roycemotorcars",1904,"1904/5/1",NA,NA,NA,"1,357","rolls-roycemotorcars.com","$ -","$246.2M","Chichester,England","Private",NA,"Bayerische Motoren Werke AG",NA,NA,"Bentley Motors","Ferrari","Aston Martin","Bugatti","Automobili Lamborghini","Audi","Lexus","Maserati",NA,NA,NA
"Bentley Motors","bentleymotors",1919,"1919/1/18",NA,NA,NA,"3,600","bentleymotors.com","$ -","$101.6M","Cheshire,England","Private",NA,"Volkswagen AG",NA,NA,"Rolls-Royce Motor Cars","Aston Martin","Ferrari","Automobili Lamborghini","Maserati","McLaren","Audi","Bugatti",NA,NA,NA
"Supercars","supercarsgarage",1900,NA,NA,NA,NA,"39","supercarsgarage.com","$ -","$3.3M","Metuchen,New Jersey","Private",NA,"Y",NA,NA,"Ferrari","Automobili Lamborghini","Aston Martin","McLaren","Porsche","BMW Group","Tesla","Lexus",NA,NA,NA
"Lotus","lotuscars",1948,"1948",NA,NA,NA,"1,200","lotuscars.com","$ -","$175M","Norfolk,England","Private",NA,"Zhejiang Geely Holding Group Co. Ltd.",NA,NA,"Ferrari","Aston Martin","Automobili Lamborghini","McLaren","Rolls-Royce Motor Cars","Maserati","Supercars","Bentley Motors",NA,NA,NA
"Bugatti","bugatti",1909,"1909",NA,NA,NA,"400","bugatti.com","$ -","$90M","Molsheim,Alsace","Private",NA,"Volkswagen AG",NA,NA,"Rolls-Royce Motor Cars","Aston Martin","Automobili Lamborghini","Koenigsegg","Ferrari","Maserati","McLaren","Exxon Mobi",NA,NA,NA
"Koenigsegg","koenigsegg",1994,"1994",NA,NA,NA,"481","koenigsegg.com","$ -","$7M","SkÃ¥ne","Private",NA,"Y",NA,NA,"Pagani","Ariel Motor","Caterham Cars","Bugatti","Ferrari","SMMT","Morgan","Zytek",NA,NA,NA
"Exxon Mobi","exxonmobil",1999,"1999/11/30",NA,NA,NA,"69,600","exxonmobil.com","$9.5B","$252.7B","Irving,Texas","Public","1978-01-13","Y","NYSE","XOM","BP1","ConocoPhillips","Chevron","Marathon Oil","Shell","Valero","Total","Devon Energy",NA,NA,NA
"Pagani","pagani",1992,"1992",NA,NA,NA,"115","pagani.com","$ -","$6.8M","San Cesario sul Panaro, MO, Italy","Private",NA,"Y",NA,NA,"Koenigsegg","Ferrari","Bugatti","Aston Martin","Automobili Lamborghini","McLaren","Rolls-Royce Motor Cars","Maserati",NA,NA,NA
"Ariel Motor","arielmotor",2001,"2001",NA,NA,NA,"19","arielmotor.co.uk","$ -","$ < 1M","Crewkerne, Somerset, United Kingdom","Private",NA,"Y",NA,NA,"SMMT","Morgan","Zytek","The Car People","Ruf-Automobile","Koenigsegg","Auto Trader","Cars",NA,NA,NA
"Caterham Cars","caterhamcars",1973,"1973",NA,NA,NA,"134","caterhamcars.com","$ -","$2.1M","Crawley, Sussex, England","Private",NA,"Y",NA,NA,"Koenigsegg","Pagani","Ariel Motor","Bugatti","Ferrari","SMMT","Morgan","Zytek",NA,NA,NA
"SMMT","smmt",1902,"1902/7/16",NA,NA,NA,"200","smmt.co.uk","$ -","$50M","London,England","Private",NA,"Y",NA,NA,"The Car People","Carfax","CarGurus","Auto Trader","Cars","Cox Automotive","Carvana","TrueCar",NA,NA,NA
"Morgan","morgan-motor",1909,"1909/5/1",NA,NA,NA,"835","morgan-motor.co.uk","$ -","$300M","Malvern, Worcestershire, England","Private",NA,"Y",NA,NA,"Ruf-Automobile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Car People","thecarpeoplelimited",1999,"1999/3/30",NA,NA,NA,"440","thecarpeople.co.uk","$ -","$147.6M","Wakefield,England","Private",NA,"Penske Automotive Group, Inc.",NA,NA,"CarGurus","Carfax","Cars","Auto Trader","Cox Automotive","TrueCar","Reynolds and Reynolds","CDK Global",NA,NA,NA
"Auto Trader","autotradergroupplc",1975,"1975",NA,NA,NA,"820","autotrader.co.uk","$ -","$420.1M","Manchester,England","Private",NA,"Y","London Stock Exchange",NA,"CarGurus","Edmunds","TrueCar","Carvana","Autobytel","The Car People","Kelley Blue Book","AutoTrader",NA,NA,NA
"Cars","cars",1998,"1998/6/1",NA,NA,NA,"1,100","cars.com","$ -","$633M","Chicago,Illinois","Private",NA,"Y","NYSE","CARS","Cox Automotive","Carfax","Reynolds and Reynolds","CDK Global","TrueCar","CarGurus","DealerSocket","Dealertrack",NA,NA,NA
"Carfax","carfax",1984,"1984/6/1",NA,NA,NA,"900","carfax.com","$ -","$28.3M","Centreville,Virginia","Private",NA,"R.L. Polk & Company",NA,NA,"Cars","Cox Automotive","CarGurus","Reynolds and Reynolds","TrueCar","CDK Global","Adam Systems","DealerSocket",NA,NA,NA
"CarGurus","cargurus",2006,"2006",NA,NA,NA,"549","cargurus.com","$3.1M","$313.1M","Cambridge,Massachusetts","Public","2017-10-11","Y","NASDAQ","CARG","Carfax","OffLeaseOnly","Cars","Carvana","Vast","Cox Automotive","Findmicar","Goodson Acura",NA,NA,NA
"Cox Automotive","coxautoinc",2014,"2014/8/1",NA,NA,NA,"24,000","coxautoinc.com","$ -","$5B","Brookhaven,Georgia","Private",NA,"Cox Enterprises, Inc.",NA,NA,"Reynolds and Reynolds","CDK Global","TrueCar","DealerSocket","Adam Systems","Dominion Dealer Solutions","Autosoft","CarGurus",NA,NA,NA
"Carvana","carvana",2011,"2011/11/29",NA,NA,NA,"1,070","carvana.com","$ -","$58.1M","Phoenix,Arizona","Public","2017-04-28","Y","NYSE","CVNA","CarGurus","AutoTrader Group","CarSoup","Carsales","Carfax","Cars","Cox Automotive","DealerSocket",NA,NA,NA
"TrueCar","truecar",2005,"2005/2/1",NA,NA,NA,"686","truecar.com","$245.7M","$328.5M","Santa Monica,California","Public","2014-05-23","Y","NASDAQ",NA,"CarGurus","Edmunds","Kelley Blue Book","AutoTrader","Carfax","Cars","Autobytel","CARQUEST",NA,NA,NA
"Reynolds and Reynolds","reyrey",1866,"1866/3/1",NA,NA,NA,"4,747","reyrey.com","$ -","$2.2B","Kettering,Ohio","Private",NA,"Y",NA,NA,"CDK Global","Dealertrack","Xtime","Cox Automotive","Dominion Dealer Solutions","Autosoft","DealerSocket","TrueCar",NA,NA,NA
"CDK Global","cdkglobal",1972,"1972",NA,NA,NA,"8,500","cdkglobal.com","$ -","$2.3B","Hoffman Estates,Illinois","Public","2014-09-26","Y","NASDAQ","CDK","Dealertrack","Cox Automotive","Dominion Dealer Solutions","Autosoft","Reynolds and Reynolds","TrueCar","DealerSocket","Xtime",NA,NA,NA
"Edmunds","edmunds",1996,"1996",NA,NA,NA,"727","edmunds.com","$36M","$250M","Santa Monica,California","Private",NA,"Y",NA,NA,"CarGurus","Kelley Blue Book","Car Dealer Reviews","Car and Driver","DealerRater","Carfax","Carnow","TrueCar",NA,NA,NA
"Autobytel","autobytel",1995,"1995",NA,NA,NA,"228","autobytel.com","$153.8M","$134.1M","Irvine,California","Public","1999-03-26","Y","NASDAQ","ABTL","CarGurus","TrueCar","AutoTrader","Edmunds","Kelley Blue Book","Carfax","Cars","VinSolutions",NA,NA,NA
"Kelley Blue Book","kbb",1926,"1926",NA,NA,NA,"595","kbb.com","$ -","$190.6M","Irvine,California","Private",NA,"AutoTrader.com, Inc.",NA,NA,"TrueCar","CarGurus","Edmunds","Autobytel","Cars","Carfax","Cox Automotive","Deutsche Automobil Treuhand",NA,NA,NA
"DealerSocket","dealersocket",2001,"2001",NA,NA,NA,"695","dealersocket.com","$ -","$179.8M","San Clemente,California","Private",NA,"Y",NA,NA,"VinSolutions","Autosoft","iMagicLab","Auto/Mate","Dealerteam","Reynolds and Reynolds","CDK Global","Contact Advantage",NA,NA,NA
"Dealertrack","dealertrack",2001,"2001/8/1",NA,NA,NA,"3,900","dealertrack.com","$170M","$993M","New Hyde Park,New York","Public","2015-06-15","Cox Automotive, Inc","NYSE","TRAK","CDK Global","Reynolds and Reynolds","Dominion Dealer Solutions","Autosoft","Xtime","DealerSocket","TrueCar","Auto/Mate",NA,NA,NA
"Adam Systems","adamdms",1979,"1979",NA,NA,NA,"60","adamdms.com","$ -","$18M","Spanish For,tAlabama","Private",NA,"Y",NA,NA,"Cox Automotive","DealerSocket","CDK Global","Reynolds and Reynolds","TrueCar","Auto/Mate","VinSolutions","Autosoft",NA,NA,NA
"OffLeaseOnly","offleaseonly",1992,"1992",NA,NA,NA,"10","offleaseonly.com","$ -","$10M","Long Island, New York","Private",NA,"Y",NA,NA,"Motor Cars Of Stuart","Autoenterpriseonline","Diamond II Auto Sales","Coral Springs Auto Mall","CarGurus","Dan Lewis AutoBrokerJaxCom","Carfax",NA,NA,NA,NA
"Vast","vast",2001,"2001",NA,NA,NA,"153","vast.com","$ -","$5M","Austin,Texas","Private",NA,"Y",NA,NA,"Backpage","Trovit","Oodle","Free Megalist","Sayist","Glix","InsideSales","Quikr",NA,NA,NA
"Findmicar","findmicar",NA,NA,NA,NA,NA,"46","findmicar.com","$ -","$8.1M","Fruitport,Michigan","Private",NA,"Y",NA,NA,"AutoTrader","CarGurus","Cars","Affordable Chair Covers","Heartside Ministry","Geckohead","Seeber's Hardwood Flooring","Canney's",NA,NA,NA
"Goodson Acura","goodsonacura",1986,"1986",NA,NA,NA,"56","goodsonacura.com","$ -","$4.3M","Dallas,Texas","Private",NA,"Y",NA,NA,"Oesinc","Dodgeofftworth","Vandergriff Acura","Mcdavid","Vandergriff Honda","CarGurus","David Mcdavid Acura Plano",NA,NA,NA,NA
"Dominion Dealer Solutions","drivedominion",2006,"2006",NA,NA,NA,"3,786","drivedominion.com","$ -","$270.7M","Norfolk,Virginia","Private",NA,"Dominion Enterprises",NA,NA,"Dealertrack","Reynolds and Reynolds","CDK Global","Cox Automotive","TrueCar","DealerSocket","Autosoft","Auto Uplink",NA,NA,NA
"Autosoft","autosoftdms",1998,"1998",NA,NA,NA,"450","autosoftdms.com","$ -","$40M","West Middlesex,Pennsylvania","Private",NA,"Y",NA,NA,"DealerSocket","VinSolutions","iMagicLab","Contact Advantage","Auto/Mate","Reynolds and Reynolds","Dealerteam","AutoTrader",NA,NA,NA
"AutoTrader Group","autotradergroup",1997,"1997/1/11",NA,NA,NA,"651","autotradergroup.com","$ -","$668M","Brookhaven,Georgia","Private",NA,"Cox Enterprises, Inc.",NA,NA,"Cars","CarGurus","Carfax","DealerSocket","Cox Automotive","Carvana","Reynolds and Reynolds","TrueCar",NA,NA,NA
"CarSoup","carsoup",1998,"1998",NA,NA,NA,"61","carsoup.com","$ -","$10M","Bloomington,Minnesota","Private",NA,"Y",NA,NA,"CarGurus","Carvana","Carfax","Greiner Ford Lincoln","Autolist","Cars","OffLeaseOnly","AutoTrader Group",NA,NA,NA
"Carsales","carsales",1997,"1997",NA,NA,NA,"329","carsales.com.au","$ -","$255.2M","Richmond,Victoria","Public","2009-09-18","Y","Australian Securities Exchange",NA,"Carvana","CarGurus","AutoTrader Group","CarSoup","Carfax","Cars","DealerSocket","OffLeaseOnly",NA,NA,NA
"CARQUEST","carquest",1974,"1974/6/1",NA,NA,NA,"15,000","carquest.com","$ -","$5B","RaleighNorth, Carolina","Private",NA,"Advance Auto Parts, Inc.",NA,NA,"carwow","Edmunds","TrueCar","Automotive Body Specialty","HANSUN","CarGurus","Kelley Blue Book","AutoTrader",NA,NA,NA
"Xtime","xtime",1999,"1999",NA,NA,NA,"208","xtime.com","$ -","$19M","Redwood ,CityCalifornia","Private",NA,"Cox Automotive, Inc.",NA,NA,"Reynolds and Reynolds","CDK Global","BoardVantage","Dealertrack","MDS","myKaarma","Auto/Mate","Autosoft",NA,NA,NA
"Car Dealer Reviews","cardealerreviews",2010,"2010",NA,NA,NA,"163","cardealerreviews.co.uk","$ -","$2M","Cheshire,England","Private",NA,"Y",NA,NA,"Edmunds","DealerRater","Car and Driver","CarGurus","Kelley Blue Book","TrueCar","Carfax","Carnow",NA,NA,NA
"Car and Driver","caranddriver",1955,"1955",NA,NA,NA,"60","caranddriver.com","$ -","$13.9M","Ann Arbor,Michigan","Private",NA,"Hearst Corporation",NA,NA,"Edmunds","DealerRater","Car Dealer Reviews","CarGurus","Kelley Blue Book","ARCA","TrueCar","The Car Guide",NA,NA,NA
"DealerRater","dealerrater",2002,"2002",NA,NA,NA,"124","dealerrater.com","$ -","$18.4M","Waltham,Massachusetts","Private",NA,"Cars.com Inc.",NA,NA,"Edmunds","Car Dealer Reviews","Car and Driver","CarGurus","Kelley Blue Book","TrueCar","Carfax","Carnow",NA,NA,NA
"Carnow","carnow",2013,"2013",NA,NA,NA,"200","carnow.com","$ -","$ < 1M","Atlanta","Private",NA,"Y",NA,NA,"Edmunds","CarGurus","Kelley Blue Book","Car Dealer Reviews","Car and Driver","DealerRater","Carfax","AutoAlert",NA,NA,NA
"VinSolutions","vinsolutions",2006,"2006",NA,NA,NA,"283","vinsolutions.com","$ -","$78.5M","Mission,Kansas","Private",NA,"AutoTrader.com, Inc.",NA,NA,"DealerSocket","iMagicLab","Contact Advantage","Reynolds and Reynolds","Autosoft","CDK Global","Auto/Mate","Dealertrack",NA,NA,NA
"Deutsche Automobil Treuhand","deutscheautomobiltreuhandgmbh",1931,"1931/2/1",NA,NA,NA,"360","dat.de","$ -","$36.6M","Ostfildern,Baden-Württemberg","Private",NA,"Y",NA,NA,"EurotaxGlass's","CAP","GT Motive","Web-Est","CCC Information Services","Mitchell","Red Books","Jato",NA,NA,NA
"iMagicLab","imagiclab",2003,"2003",NA,NA,NA,"105","imagiclab.com","$ -","$10M","Sarasota,Maryland","Private",NA,"Y",NA,NA,"VinSolutions","DealerSocket","Autosoft","Adam Systems","Reynolds and Reynolds","Contact Advantage","AutoTrader","Cox Automotive",NA,NA,NA
"Auto/Mate","automate",1970,"1970",NA,NA,NA,"164","automate.com","$ -","$15M","Albany,New York","Private",NA,"Y",NA,NA,"Autosoft","DealerSocket","VinSolutions","CDK Global","Dealertrack","Cox Automotive","Dominion Dealer Solutions","Reynolds and Reynolds",NA,NA,NA
"Dealerteam","dealerteam",2012,"2012/5/1",NA,NA,NA,"41",NA,"$ -","$20M","Redding,California","Private",NA,"Y",NA,NA,"Datafirst Sas Solutions Informatiques Pour La Distribution Automobile","Kreato CRM","Infor","Epicor","Ramco","Aptean","Tagetik Software","NetSuite",NA,NA,NA
"Contact Advantage","contact-advantage",2001,"2001",NA,NA,NA,"85","contact-advantage.com","$ -","$12M","Glasgow,Scotland","Private",NA,"The Reynolds and Reynolds Company",NA,NA,"Izmocars","ELEAD1ONE","CAR-Research XRM","DealerSocket","Cox Automotive","VinSolutions","TrueCar","CDK Global",NA,NA,NA
"Motor Cars Of Stuart","motorcarsofstuart",1961,"1961",NA,NA,NA,"36","motorcarsofstuart.com","$ -","$2.3M","Stuart,Florida","Private",NA,"Y",NA,NA,"Diamond II Auto Sales","OffLeaseOnly","Coral Springs Auto Mall","Dan Lewis AutoBrokerJaxCom","Autoenterpriseonline","Frontiermotorsinc","Wards Motorsports","C & L Motors",NA,NA,NA
"Diamond II Auto Sales","diamond2autosales",1991,"1991",NA,NA,NA,"59","diamond2autosales.com","$ -","$11.5M","Orlando,Florida","Private",NA,"Y",NA,NA,"Motor Cars Of Stuart","OffLeaseOnly","Coral Springs Auto Mall","Dan Lewis AutoBrokerJaxCom","Autoenterpriseonline","Jewells Affair","Michaels Auto Sales","Melbourne BMW",NA,NA,NA
"Coral Springs Auto Mall","coralspringsautomall",2014,"2014",NA,NA,NA,"45","coralspringsautomall.com","$ -","$4.4M","Coral Springs,Florida","Private",NA,"Y",NA,NA,"Coral Springs Pre-owned Superstore","Motor Cars Of Stuart","Coral Springs Honda","Diamond II Auto Sales","OffLeaseOnly","Dan Lewis AutoBrokerJaxCom","Autoenterpriseonline","Mike Erdman Toyota",NA,NA,NA
"Dan Lewis AutoBrokerJaxCom","auto-broker-jax",2013,"2013",NA,NA,NA,"10","auto-broker-jax.com","$ -","$10M","Jacksonville, Florida","Private",NA,"Y",NA,NA,"Motor Cars Of Stuart","Diamond II Auto Sales","OffLeaseOnly","Coral Springs Auto Mall","Autoenterpriseonline","Jewells Affair","CarGurus","Coral Springs Pre-owned Superstore",NA,NA,NA
"Affordable Chair Covers","decor-cetera",2009,"2009",NA,NA,NA,"49","decor-cetera.com","$ -","$23.4M","grand rapids,Michigan","Private",NA,"Y",NA,NA,"Findmicar","Seeber's Hardwood Flooring","Heartside Ministry","Canney's","Geckohead","Aoc Restaurant","Jewish Theatre Grand Rapids","Graphix Outlet",NA,NA,NA
"Heartside Ministry","heartsideministry",1983,"1983",NA,NA,NA,"12","heartside.com","$ -","$ < 1M","Grand Rapids,Michigan","Private",NA,"Y",NA,NA,"Michigan Cremation & Funeral Care","Geckohead","Aoc Restaurant","Jewish Theatre Grand Rapids","Graphix Outlet","Easyrotor Helicopter & Aviation Systems","First Financial Resource","Carmody Painting",NA,NA,NA
"Dodgeofftworth","dodgeofftworth",2014,"2014/6/1",NA,NA,NA,"52","dodgeofftworth.com","$ -","$17.1M","McKinney,Texas","Private",NA,"Y",NA,NA,"Chryslerofftworth","Stewart-Rose Properties","Office Boy","Lone Star Riders Motorcycle Group","Dallas Surgical Group","Classicfleet",NA,NA,NA,NA,NA
"Vandergriff Acura","vandergriffacura",1997,"1997",NA,NA,NA,"55","vandergriffacura.com","$ -","$20.1M","Arlington,Texas","Private",NA,"Y",NA,NA,"Goodson Acura","Mcdavid","Vandergriff Honda","CarGurus","Acura of Peoria","Acuraofthedesert",NA,NA,NA,NA,NA
"Mcdavid","mcdavidusa",1969,"1969",NA,NA,NA,"245","mcdavidusa.com","$ -","$37.1M","Fountain Valley,California","Private",NA,"Y",NA,NA,"VIVOMED","PhysioRoom","Collinssports","Foryourarms.com Foryourarms",NA,NA,NA,NA,NA,NA,NA
"Vandergriff Honda","vandergriffhonda",1937,"1937",NA,NA,NA,"51","vandergriffhonda.com","$ -","$12M","Arlington,Texas","Private",NA,"Y",NA,NA,"Goodson Acura","Benson Honda","Burleson Nissan","El Paso Honda","John Eagle Honda Of Houston","Honda of Paris",NA,NA,NA,NA,NA
"David Mcdavid Acura Plano","davidmcdavidacuraplano",1986,"1986/3/26",NA,NA,NA,"70","davidmcdavidacuraplano.com","$ -","$12.1M","Plano,Texas","Private",NA,"Y",NA,NA,"Yuan Insurance & Financial Services","Graceful Soles Dance Studio","General Handeling Systems",NA,"Boardwalk Ferrari","Classy Doggie Cuts","Goodson Acura","PLANO FLORIST AND GIFTS",NA,NA,NA
"Greiner Ford Lincoln","greinerford",1970,"1970",NA,NA,NA,"68","greinerford.com","$ -","$29.9M","Casper,Wyoming","Private",NA,"Lithia Motors Inc",NA,NA,"CarGurus","Carvana","CarSoup","Carfax","AutoTrader Group","OffLeaseOnly","Cars","Autolist",NA,NA,NA
